"Table S12: Filtered occurrences retrieved from Global Biodiversity Information Facility, GBIF.org (04/28/2020; GBIF Occurrence Download DOI 10.15468/dl.8383sp; (Available as supplementary data and in Github: https://doi.org/10.5281/zenodo.5510615 (https://github.com/GregoryThom/)).",,,,,,,
"name","longitude","latitude","catalogNumber","stateProvince","pop","locality","elevation"
"Synallaxis cinerascens",-43.488417,-20.097742,"OBS430492521","Minas Gerais","north","Santuário do Caraça--área geral",1462.25
"Tangara desmaresti",-43.488417,-20.097742,"OBS422303523","Minas Gerais","north","Santuário do Caraça--área geral",1537.73
"Mackenziaena leachii",-43.49,-20.1,"NA","NA","north","Brazil:Minas Gerais, Catas Altas, Serra do Caraca, Santuario do Caraca",1393.25
"Mackenziaena leachii",-43.48618,-20.100239,"OBS423564533","Minas Gerais","north","Santuário do Caraça--Trilha da Cascatinha",1496.56
"Muscipipra vetula",-43.48618,-20.100239,"OBS470952109","Minas Gerais","north","Santuário do Caraça--Trilha da Cascatinha",1462.25
"Muscipipra vetula",-43.635249,-20.101236,"OBS456410631","Minas Gerais","north","Pião de Mutuca / Vigário da Vara",1257.66
"Piculus aurulentus",-43.635249,-20.101236,"OBS457486507","Minas Gerais","north","Pião de Mutuca / Vigário da Vara",1150.45
"Synallaxis cinerascens",-43.635249,-20.101236,"OBS457828609","Minas Gerais","north","Pião de Mutuca / Vigário da Vara",1257.66
"Muscipipra vetula",-43.4869,-20.1017,"OBS525805778","Minas Gerais","north","Santuário do Caraça--Ponte do Bode",1462.25
"Mackenziaena leachii",-43.494,-20.1026,"OBS470952169","Minas Gerais","north","Santuário do Caraça--Tanque Grande",1393.25
"Synallaxis cinerascens",-43.494,-20.1026,"OBS423567335","Minas Gerais","north","Santuário do Caraça--Tanque Grande",1462.25
"Mackenziaena leachii",-43.987241,-20.109216,"OBS456589365","Minas Gerais","north","Serra da Moeda",1330.52
"Muscipipra vetula",-43.589972,-20.112015,"OBS424396582","Minas Gerais","north","BR-Minas Gerais-Santa Bárbara ",974.52
"Mackenziaena leachii",-43.640058,-20.117742,"OBS415577743","Minas Gerais","north","BR-Minas Gerais-Santa Bárbara - -20,118x-43,64 - 2 de jul de 2016 22:09",1197.02
"Tangara desmaresti",-43.640058,-20.117742,"OBS415577753","Minas Gerais","north","BR-Minas Gerais-Santa Bárbara - -20,118x-43,64 - 2 de jul de 2016 22:09",1225.28
"Mackenziaena leachii",-43.902698,-20.141452,"OBS456425575","Minas Gerais","north","Aboboras",1211.02
"Mackenziaena leachii",-43.842326,-20.18216,"OBS457563212","Minas Gerais","north","Itabirito",1225.3
"Muscipipra vetula",-41.352539,-20.229342,"OBS47725040","Espírito Santo","north","Fazenda Pindobas IV: nw - Vendo do Imigrante, ES",1102.72
"Muscipipra vetula",-41.098121,-20.242634,"OBS438705631","Espírito Santo","north","Alto Guandu",973.85
"Piculus aurulentus",-41.098121,-20.242634,"OBS438705604","Espírito Santo","north","Alto Guandu",927.34
"Tangara desmaresti",-41.098121,-20.242634,"OBS438705635","Espírito Santo","north","Alto Guandu",908.76
"Muscipipra vetula",-46.495514,-20.250602,"OBS353175670","Minas Gerais","north","PN Serra da Canastra",1341.47
"Tangara desmaresti",-41.109979,-20.257442,"OBS318187107","Espírito Santo","north","Alto Guandu",1033.7
"Drymophila rubricollis",-43.53,-20.26,"NA","NA","north","Brazil:Minas Gerais, Ouro Preto, Vertente SW da Serra do Batatal",1192.5
"Muscipipra vetula",-41.295891,-20.274436,"OBS240106929","Espírito Santo","north","Fazendo Pindobas IV",1177.27
"Tangara desmaresti",-43.57472,-20.299999,"OBS396344554","Minas Gerais","north","FLOE Uaimii, road before the entrance - -20.3x-43.575",1090.46
"Mackenziaena leachii",-46.509,-20.3241,"OBS293869726","Minas Gerais","north","PN Serra da Canastra--lower river",975.47
"Mackenziaena leachii",-43.416617,-20.342575,"OBS456414315","Minas Gerais","north","Del Rey",831.35
"Tangara desmaresti",-43.487484,-20.3587,"OBS441121099","Minas Gerais","north","Parque Municipal Cachoeira das Andorinhas",1195.12
"Synallaxis cinerascens",-43.414819,-20.365194,"OBS412718258","Minas Gerais","north","Mariana MG ",783.78
"Synallaxis cinerascens",-43.55776,-20.379285,"OBS430453342","Minas Gerais","north","SESC Estalagem Ouro Preto",1306.6
"Tangara desmaresti",-43.580856,-20.387138,18291921,"Minas Gerais","north","NA",1297.69
"Muscipipra vetula",-41.024807,-20.393164,"OBS295159599","Espírito Santo","north","Pedra Azul - ES",1278.5
"Tangara desmaresti",-41.024807,-20.393164,"OBS295159607","Espírito Santo","north","Pedra Azul - ES",1340.24
"Piculus aurulentus",-41.02693,-20.393931,"OBS520865704","Espírito Santo","north","PE Pedra Azul",1156.06
"Muscipipra vetula",-41.031661,-20.400789,"OBS326121866","Espírito Santo","north","Rota do Lagarto",1278.5
"Tangara desmaresti",-41.031661,-20.400789,"OBS326121874","Espírito Santo","north","Rota do Lagarto",1170.54
"Piculus aurulentus",-41.052365,-20.405725,"OBS376674848","Espírito Santo","north","Pedra Azul -- Pousada Vale da Mata",1018.45
"Stephanophorus diadematus",-41.829444,-20.413611,34607,"Minas Gerais","north","Parque Nacional do Caparaó, trilha da Troqueira até o Terreirão",1779.27
"Stephanoxis lalandi",-41.848576,-20.414827,"OBS412284597","Minas Gerais","north","PN do Caparaó--Alto Caparaó",1420.13
"Tangara desmaresti",-41.848576,-20.414827,"OBS412290496","Minas Gerais","north","PN do Caparaó--Alto Caparaó",1420.13
"Stephanophorus diadematus",-41.795278,-20.425833,34620,"Espírito Santo","north","Parque Nacional do Caparaó, Trilha para o Rio Pedra Roxa (próximo ao Pico da Pedra Roxa), Distrito de Pedra Menina",2372.28
"Mackenziaena leachii",-41.882629,-20.430874,"OBS180690755","Minas Gerais","north","Caparaó",1033.81
"Microspingus lateralis",-41.882629,-20.430874,"OBS180690764","Minas Gerais","north","Caparaó",1008.62
"Muscipipra vetula",-41.882629,-20.430874,"OBS180690760","Minas Gerais","north","Caparaó",1008.62
"Stephanoxis lalandi",-41.882629,-20.430874,"OBS180690751","Minas Gerais","north","Caparaó",1032.8
"Drymophila rubricollis",-43.510803,-20.434371,"OBS403315601","Minas Gerais","north","PE do Itacolomi",1385.6
"Mackenziaena leachii",-43.510803,-20.434371,"OBS466201973","Minas Gerais","north","PE do Itacolomi",1374.65
"Muscipipra vetula",-43.510803,-20.434371,"OBS403315529","Minas Gerais","north","PE do Itacolomi",1371.82
"Synallaxis cinerascens",-43.510803,-20.434371,"OBS402705529","Minas Gerais","north","PE do Itacolomi",1371.82
"Tangara desmaresti",-43.510803,-20.434371,"OBS402705530","Minas Gerais","north","PE do Itacolomi",1385.6
"Mackenziaena leachii",-41.797399,-20.438514,"OBS442586297","Espírito Santo","north","PN do Caparaó",2442.78
"Microspingus lateralis",-41.797399,-20.438514,"OBS442586291","Espírito Santo","north","PN do Caparaó",2372.68
"Stephanophorus diadematus",-41.797399,-20.438514,"OBS417340751","Espírito Santo","north","PN do Caparaó",2372.28
"Stephanoxis lalandi",-41.797399,-20.438514,"OBS442586287","Espírito Santo","north","PN do Caparaó",2449.61
"Mackenziaena leachii",-43.783822,-20.447602,"OBS457608971","Minas Gerais","north","miguel burnier",1136.59
"Muscipipra vetula",-43.783822,-20.447602,"OBS457608938","Minas Gerais","north","miguel burnier",1181.89
"Synallaxis cinerascens",-43.783822,-20.447602,"OBS457608919","Minas Gerais","north","miguel burnier",1181.89
"Mackenziaena leachii",-41.807735,-20.455867,"OBS432822333","Minas Gerais","north","Parque Nacional do Caparaó -- Pico da Bandeira",2390.53
"Microspingus lateralis",-41.807735,-20.455867,"OBS432092559","Minas Gerais","north","Parque Nacional do Caparaó -- Pico da Bandeira",2253.05
"Stephanophorus diadematus",-41.807735,-20.455867,"OBS432822334","Minas Gerais","north","Parque Nacional do Caparaó -- Pico da Bandeira",2299.32
"Piculus aurulentus",-41.730213,-20.465851,"OBS432090970","Espírito Santo","north","Tecnotruta -- Ibitirama",1379.25
"Tangara desmaresti",-41.730213,-20.465851,"OBS432822014","Espírito Santo","north","Tecnotruta -- Ibitirama",1401.97
"Muscipipra vetula",-41.005058,-20.46621,"OBS439491519","Espírito Santo","north","Hotel Fazenda Monte Verde",1153.86
"Tangara desmaresti",-41.005058,-20.46621,"OBS439491484","Espírito Santo","north","Hotel Fazenda Monte Verde",1094.29
"Muscipipra vetula",-41.0036,-20.467,"OBS364450516","Espírito Santo","north","Hotel Monte Verde",1153.86
"Muscipipra vetula",-40.99445,-20.485127,"OBS443133996","Espírito Santo","north","-20.4851x-40.9944 - Oct 30, 2016, 2:16 PM (RdJA)",1091.92
"Tangara desmaresti",-40.99445,-20.485127,"OBS456440066","Espírito Santo","north","-20.4851x-40.9944 - Oct 30, 2016, 2:16 PM (RdJA)",1094.68
"Muscipipra vetula",-40.994711,-20.485477,"OBS187384061","Espírito Santo","north","Brazil-Espirito Santo-Private Forest lands near Monte Verdes",1091.92
"Piculus aurulentus",-40.994711,-20.485477,"OBS187384092","Espírito Santo","north","Brazil-Espirito Santo-Private Forest lands near Monte Verdes",1077.76
"Piculus aurulentus",-41.009302,-20.489987,"OBS318332371","Espírito Santo","north","Vargem Alta",1102.47
"Piculus aurulentus",-41.036537,-20.490559,"OBS295193906","Espírito Santo","north","Vargem Alta - Mata de Caetés",1133
"Heliobletus contaminatus",-41.02675,-20.49277,"OBS341294643","Espírito Santo","north","Mata dos Caetés",1133
"Hemitriccus obsoletus",-41.02675,-20.49277,"OBS341294649","Espírito Santo","north","Mata dos Caetés",1147.31
"Muscipipra vetula",-41.02675,-20.49277,"OBS412945182","Espírito Santo","north","Mata dos Caetés",1126.97
"Piculus aurulentus",-41.02675,-20.49277,"OBS369416779","Espírito Santo","north","Mata dos Caetés",1133
"Tangara desmaresti",-41.02675,-20.49277,"OBS369416747","Espírito Santo","north","Mata dos Caetés",1147.31
"Piculus aurulentus",-40.98999,-20.496492,"OBS216301024","Espírito Santo","north","Fazenda Veneto, ES, Brazil",1077.76
"Mackenziaena leachii",-41.806288,-20.505144,"OBS442527306","Espírito Santo","north","PN do Caparaó--Pedra Menina",1667.3
"Microspingus lateralis",-41.806288,-20.505144,"OBS442527300","Espírito Santo","north","PN do Caparaó--Pedra Menina",1740.46
"Stephanophorus diadematus",-41.806288,-20.505144,"OBS442527299","Espírito Santo","north","PN do Caparaó--Pedra Menina",1619.36
"Stephanoxis lalandi",-41.806288,-20.505144,"OBS442527296","Espírito Santo","north","PN do Caparaó--Pedra Menina",1779.47
"Muscipipra vetula",-41.0044,-20.512,"OBS444356528","Espírito Santo","north","Mata dos Caetés",1079.57
"Mackenziaena leachii",-42.325446,-20.544883,"OBS457791473","Minas Gerais","north","Fazenda Vista Alegre",1099.72
"Mackenziaena leachii",-41.77533,-20.580246,"OBS443619821","Espírito Santo","north","Portal do Céu",1311.89
"Muscipipra vetula",-41.77533,-20.580246,"OBS424234751","Espírito Santo","north","Portal do Céu",1181.89
"Stephanophorus diadematus",-41.77533,-20.580246,"OBS424234730","Espírito Santo","north","Portal do Céu",1145.28
"Tangara desmaresti",-41.77533,-20.580246,"OBS443619734","Espírito Santo","north","Portal do Céu",1338.69
"Tangara desmaresti",-41.76505,-20.581474,"OBS416344729","Espírito Santo","north","Trilha Portal Do Céu ",1054.24
"Tangara desmaresti",-41.778584,-20.599721,"OBS433173628","Espírito Santo","north","RPPN Águas do Caparaó",1133.47
"Tangara desmaresti",-41.77822,-20.60302,"OBS326230159","Espírito Santo","north","Pousada Águas do Caparaó",1133.47
"Tangara desmaresti",-41.013293,-20.67262,"OBS437923620","Espírito Santo","north","Vargem Alta",700.45
"Mackenziaena leachii",-44.752144,-20.836568,"OBS438826386","Minas Gerais","north","Fazenda Santa Clara, Oliveira",1065.1
"Elaenia mesoleuca",-44.748461,-20.984173,"OBS416174835","Minas Gerais","north","Estrada para a comunidade dos Machados, Km 5, Bom Sucesso",971.68
"Mackenziaena leachii",-44.121715,-21.084335,"OBS419064344","Minas Gerais","north","Trilha do Gritador - Prados/MG",1039.07
"Mackenziaena leachii",-45.350473,-21.139502,"OBS451205951","Minas Gerais","north","Frei Eustáquio, Coqueiral",899.36
"Synallaxis cinerascens",-45.130468,-21.166976,"OBS436306289","Minas Gerais","north","BR-Minas Gerais-Ribeirão Vermelho - -21,167x-45,13 - 15/10/2016 15:30",809.54
"Mackenziaena leachii",-45.25663,-21.18511,"OBS408135113","Minas Gerais","north","Ribeirão da Congonha (Congonha Stream)",830.2
"Elaenia mesoleuca",-46.980278,-21.189722,1509,"Minas Gerais","north","Fazenda Barreiro",849.92
"Mackenziaena leachii",-45.237752,-21.20602,"OBS467226036","Minas Gerais","north","Zona Rural, Coqueiral",873.92
"Phylloscartes ventralis",-44.156983,-21.208204,"OBS367728942","Minas Gerais","north","BR-MG-São João del Rei - -21,2082x-44,1570 - 21 de jan de 2016 22:58",1001.82
"Syndactyla rufosuperciliata",-44.35224,-21.211368,"OBS441359546","Minas Gerais","north","BR-Minas Gerais-São João Del Rei - -21,211x-44,352 - 8 de nov de 2016 20:02",973.3
"Synallaxis cinerascens",-43.766811,-21.229442,"OBS433386382","Minas Gerais","north","Instituto Federal Sudeste MG",1132.15
"Muscipipra vetula",-43.729664,-21.244554,"OBS360533721","Minas Gerais","north","BR-Minas Gerais-Barbacena-Unnamed Rd - -21,245x-43,73",1134.71
"Muscipipra vetula",-43.74962,-21.250926,"OBS422879633","Minas Gerais","north","BR-MG-Barbacena - -21,2509x-43,7496 - 11 de ago de 2016 19:33",1133.1
"Synallaxis cinerascens",-43.74962,-21.250926,"OBS422879628","Minas Gerais","north","BR-MG-Barbacena - -21,2509x-43,7496 - 11 de ago de 2016 19:33",1133.1
"Elaenia mesoleuca",-44.969637,-21.329555,"OBS437823194","Minas Gerais","north","Lavras--Parque Ecológico Quedas do Rio Bonito",1006.6
"Mackenziaena leachii",-44.969637,-21.329555,"OBS437923821","Minas Gerais","north","Lavras--Parque Ecológico Quedas do Rio Bonito",1033.52
"Synallaxis cinerascens",-44.969637,-21.329555,"OBS437823226","Minas Gerais","north","Lavras--Parque Ecológico Quedas do Rio Bonito",1001.05
"Syndactyla rufosuperciliata",-44.969637,-21.329555,"OBS437823134","Minas Gerais","north","Lavras--Parque Ecológico Quedas do Rio Bonito",1006.6
"Mackenziaena leachii",-44.974831,-21.33296,"OBS444477683","Minas Gerais","north","Parque Ecológico Quedas do Rio Bonito  -21,333x-44,975 - 19/11/2016 07:06",1033.52
"Synallaxis cinerascens",-44.974831,-21.33296,"OBS444477682","Minas Gerais","north","Parque Ecológico Quedas do Rio Bonito  -21,333x-44,975 - 19/11/2016 07:06",1078.22
"Elaenia mesoleuca",-44.801039,-21.547333,"OBS403363186","Minas Gerais","north","Serra Grande, Luminárias, Minas Gerais.",1247.63
"Mackenziaena leachii",-44.801039,-21.547333,"OBS403363216","Minas Gerais","north","Serra Grande, Luminárias, Minas Gerais.",1213.84
"Muscipipra vetula",-44.801039,-21.547333,"OBS403363199","Minas Gerais","north","Serra Grande, Luminárias, Minas Gerais.",1210.39
"Phylloscartes ventralis",-44.801039,-21.547333,"OBS403363142","Minas Gerais","north","Serra Grande, Luminárias, Minas Gerais.",1247.63
"Heliobletus contaminatus",-44.570778,-21.600992,"OBS421401268","Minas Gerais","north","Chapada das Perdizes - Minduri",1331.85
"Muscipipra vetula",-44.570778,-21.600992,"OBS421401319","Minas Gerais","north","Chapada das Perdizes - Minduri",1248.05
"Phylloscartes ventralis",-44.570778,-21.600992,"OBS421365816","Minas Gerais","north","Chapada das Perdizes - Minduri",1223.85
"Synallaxis cinerascens",-44.570778,-21.600992,"OBS421365818","Minas Gerais","north","Chapada das Perdizes - Minduri",1248.05
"Syndactyla rufosuperciliata",-44.570778,-21.600992,"OBS421365854","Minas Gerais","north","Chapada das Perdizes - Minduri",1223.85
"Stephanophorus diadematus",-43.892277,-21.705163,"OBS451465862","Minas Gerais","north","Lago dos espelhos",1459.63
"Tangara desmaresti",-43.892277,-21.705163,"OBS451465865","Minas Gerais","north","Lago dos espelhos",1336.51
"Mackenziaena leachii",-43.881467,-21.706805,"OBS507678911","Minas Gerais","north","PE do Ibitipoca",1316.07
"Phylloscartes ventralis",-43.881467,-21.706805,"OBS507678938","Minas Gerais","north","PE do Ibitipoca",1334.61
"Stephanophorus diadematus",-43.881467,-21.706805,"OBS451465676","Minas Gerais","north","PE do Ibitipoca",1334.61
"Syndactyla rufosuperciliata",-43.881467,-21.706805,"OBS507678924","Minas Gerais","north","PE do Ibitipoca",1334.61
"Tangara desmaresti",-43.881467,-21.706805,"OBS507679004","Minas Gerais","north","PE do Ibitipoca",1333.97
"Phylloscartes ventralis",-43.881203,-21.707002,"OBS412709576","Minas Gerais","north","Parque Estadual do Ibitipoca ",1334.61
"Tangara desmaresti",-43.881203,-21.707002,"OBS412709607","Minas Gerais","north","Parque Estadual do Ibitipoca ",1333.97
"Stephanoxis lalandi",-43.89588,-21.7103,"OBS177073741","Minas Gerais","north","Brazil - Ibitiboca",1336.51
"Elaenia mesoleuca",-48.173804,-21.745868,"OBS402434278","São Paulo","north","Araraquara",677.16
"Phylloscartes difficilis",-41.910307,-21.887792,"OBS423251339","Rio de Janeiro","north","Pedra do Desengano",1211.28
"Piculus aurulentus",-41.910307,-21.887792,"OBS423251328","Rio de Janeiro","north","Pedra do Desengano",1189.85
"Stephanophorus diadematus",-41.910307,-21.887792,"OBS423251338","Rio de Janeiro","north","Pedra do Desengano",1325.17
"Stephanoxis lalandi",-41.910307,-21.887792,"OBS423251313","Rio de Janeiro","north","Pedra do Desengano",1211.28
"Tangara desmaresti",-41.910307,-21.887792,"OBS423251312","Rio de Janeiro","north","Pedra do Desengano",1211.28
"Tangara desmaresti",-41.904336,-21.898975,"OBS421422799","Rio de Janeiro","north","Morumbeca Dos Marreiros - 2 de ago de 2016 18:25",1357.39
"Tangara desmaresti",-42.014522,-21.951621,"OBS357706417","Rio de Janeiro","north","Parque Municipal Santos Lima",716.21
"Tangara desmaresti",-42.014499,-21.951936,"OBS404758561","Rio de Janeiro","north","BR-Rio de Janeiro-Santa Maria Madalena-Horto Central Florestal Santos Lima - -21 -952x-42 -014",716.21
"Tangara desmaresti",-42.010045,-21.962788,"OBS317821291","Rio de Janeiro","north","Santa Maria Madalena",750.12
"Synallaxis cinerascens",-42.543064,-21.992327,"OBS438905328","Rio de Janeiro","north","Duas Barras--Fazenda Reunidas",805.92
"Elaenia mesoleuca",-46.3827,-21.997649,"OBS536203056","Minas Gerais","north","Serra, Caldas, MG, Brazil",1440.03
"Mackenziaena leachii",-46.3827,-21.997649,"OBS536203022","Minas Gerais","north","Serra, Caldas, MG, Brazil",1460.01
"Muscipipra vetula",-46.3827,-21.997649,"OBS536202996","Minas Gerais","north","Serra, Caldas, MG, Brazil",1438.89
"Synallaxis cinerascens",-46.3827,-21.997649,"OBS536203089","Minas Gerais","north","Serra, Caldas, MG, Brazil",1438.89
"Stephanophorus diadematus",-46.626604,-22.015467,"OBS502647378","São Paulo","north","Pico do Gavião",1343.9
"Stephanophorus diadematus",-44.675035,-22.025233,"OBS452862071","Minas Gerais","north","cachoeira dos garcias ",1853.62
"Mackenziaena leachii",-42.489148,-22.052831,"OBS437696544","Rio de Janeiro","north","rampa de parapente ",679.82
"Muscipipra vetula",-42.489148,-22.052831,"OBS437696521","Rio de Janeiro","north","rampa de parapente ",651.93
"Synallaxis cinerascens",-42.489148,-22.052831,"OBS438925851","Rio de Janeiro","north","rampa de parapente ",651.93
"Synallaxis cinerascens",-42.556711,-22.054356,"OBS436066576","Rio de Janeiro","north","BR-RJ-Duas Barras-28650-000 - -22,0544x-42,5567",799.31
"Synallaxis cinerascens",-42.517433,-22.055176,"OBS277403722","Rio de Janeiro","north","Duas Barras-- Regiao",672.57
"Mackenziaena leachii",-42.484343,-22.056584,"OBS435882494","Rio de Janeiro","north","Duas Barras -- Rampa de voo livre",679.82
"Muscipipra vetula",-42.484343,-22.056584,"OBS436072218","Rio de Janeiro","north","Duas Barras -- Rampa de voo livre",774.29
"Muscipipra vetula",-42.484127,-22.057056,"OBS438930590","Rio de Janeiro","north","Alto da Rampa -22,057x-42,484 - ",774.29
"Mackenziaena leachii",-42.484566,-22.05707,"OBS436004979","Rio de Janeiro","north","BR-RJ-Duas Barras-28650 - -22,0571x-42,4846",679.82
"Synallaxis cinerascens",-42.484566,-22.05707,"OBS435992668","Rio de Janeiro","north","BR-RJ-Duas Barras-28650 - -22,0571x-42,4846",774.29
"Mackenziaena leachii",-42.483959,-22.057194,"OBS438865901","Rio de Janeiro","north","Rampa de Voo Livre",679.82
"Muscipipra vetula",-42.483959,-22.057194,"OBS438871053","Rio de Janeiro","north","Rampa de Voo Livre",774.29
"Synallaxis cinerascens",-42.483959,-22.057194,"OBS438871028","Rio de Janeiro","north","Rampa de Voo Livre",774.29
"Tangara desmaresti",-42.483959,-22.057194,"OBS459420904","Rio de Janeiro","north","Rampa de Parapente",746.35
"Mackenziaena leachii",-42.483281,-22.057322,"OBS436613262","Rio de Janeiro","north","Rampa",679.82
"Muscipipra vetula",-42.483281,-22.057322,"OBS436613246","Rio de Janeiro","north","Rampa",774.29
"Synallaxis cinerascens",-42.486075,-22.059104,"OBS437739181","Rio de Janeiro","north","deslocamento rampa x pesqueiro ",722.28
"Tangara desmaresti",-42.06792,-22.073597,"OBS415057726","Rio de Janeiro","north","Lago FlOe",790.03
"Elaenia mesoleuca",-44.644083,-22.08323,"OBS461261729","Minas Gerais","north","Vale do Matutu",1614.2
"Mackenziaena leachii",-44.644083,-22.08323,"OBS461261711","Minas Gerais","north","Vale do Matutu",1522.38
"Microspingus lateralis",-44.644083,-22.08323,"OBS461261733","Minas Gerais","north","Vale do Matutu",1613.31
"Muscipipra vetula",-44.644083,-22.08323,"OBS452864358","Minas Gerais","north","Vale do Matutu",1613.31
"Saltator maxillosus",-44.644083,-22.08323,"OBS461261703","Minas Gerais","north","Vale do Matutu",1514.04
