"Supplementary_Data_3: Filtered occurrences retrieved from Global Biodiversity Information Facility, GBIF.org (04/28/2020; GBIF Occurrence Download DOI 10.15468/dl.8383sp; (Available as supplementary data and in Github: https://doi.org/10.5281/zenodo.5510615 (https://github.com/GregoryThom/)).",,,,,,,,,
"Species","longitude","latitude","state","locality","year","month","identifier","seasson","Elevation"
"Cacicus chrysopterus",-44.710963,-22.368977,"Rio de Janeiro","PN - Itatiaia - Abandoned Resort",2017,9,"OBS565709846","spri",2136.3
"Cacicus chrysopterus",-44.628469,-22.369822,"Rio de Janeiro","NA",2018,3,"10750756","fall",2190.96
"Cacicus chrysopterus",-44.751598,-22.372346,"Minas Gerais","Estrada Parque Itamonte",2018,12,"OBS690598110","sum",1919.23
"Cacicus chrysopterus",-44.703861,-22.372892,"Rio de Janeiro","Rodovia Sebastião Alves do Nascimento, Rio de Janeiro, BR (-22.373, -44.704)",2018,10,"OBS662833870","spri",2302.11
"Cacicus chrysopterus",-44.755429,-22.37344,"Minas Gerais","-22,3734x-44,7554 - 18 de mai de 2017 06:35",2017,5,"OBS501484456","fall",1771.76
"Cacicus chrysopterus",-44.756255,-22.373465,"Minas Gerais","(-22.3735,-44.7563)",2018,11,"OBS672638663","spri",1771.76
"Cacicus chrysopterus",-44.756815,-22.373522,"Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)",2018,1,"OBS562559984","sum",1771.76
"Cacicus chrysopterus",-44.759224,-22.374101,"Minas Gerais","-22,3741x-44,7592 - 17 de mai de 2017 06:14",2017,5,"OBS501260462","fall",1771.76
"Cacicus chrysopterus",-44.75527,-22.375072,"Rio de Janeiro","PN Itatiaia—Agulhas Negras road (-22.3751,-44.7553)",2018,12,"OBS690014020","sum",1771.76
"Cacicus chrysopterus",-44.762931,-22.375678,"Minas Gerais","Hotel São Gotardo",2016,11,"OBS444923750","spri",1771.76
"Cacicus chrysopterus",-44.760225,-22.377042,"Rio de Janeiro","Parque Nacional do Itatiaia (parte alta), Itamonte, Minas Gerais.",2018,3,"OBS593923805","fall",1674.15
"Cacicus chrysopterus",-44.947565,-22.386335,"Minas Gerais","Passa Quatro - MG, Passa Quatro BR-MG (-22,3863,-44,9476)",2018,5,"OBS609109352","fall",1134.19
"Cacicus chrysopterus",-44.747819,-22.389781,"Rio de Janeiro","Side road before garganta, alto itatiaia",2016,12,"OBS457536494","sum",1598.57
"Cacicus chrysopterus",-44.624233,-22.406585,"Rio de Janeiro","PN do Itatiaia--área geral (Partes Baixa e Alta)",2018,7,"OBS644427585","wint",2030.92
"Cacicus chrysopterus",-44.552109,-22.411502,"Rio de Janeiro","Penedo--Pousada 3 bacias",2018,7,"OBS638729959","wint",719.3
"Cacicus chrysopterus",-44.724329,-22.417763,"Rio de Janeiro","Unnamed Road, Rio de Janeiro, BR (-22,418, -44,724)",2017,11,"OBS561274018","spri",1053.67
"Cacicus chrysopterus",-45.376364,-22.427021,"Minas Gerais","BR-Minas Gerais-Itajubá - -22,427x-45,376 - 26/06/2016 21:18",2016,6,"OBS414351207","wint",1306.16
"Cacicus chrysopterus",-44.61993,-22.42904,"Rio de Janeiro","PN do Itatiaia--Piscina do Maromba Trail",2018,7,"OBS638498276","wint",1451.8
"Cacicus chrysopterus",-44.615079,-22.431983,"Rio de Janeiro","PN de Itatiaia--Hotel do Ypê",2018,2,"OBS584513145","sum",1451.8
"Cacicus chrysopterus",-44.615444,-22.432028,"Rio de Janeiro","NA",2019,8,"31447023","wint",1451.8
"Cacicus chrysopterus",-44.609116,-22.435974,"Rio de Janeiro","PN do Itatiaia--Trilha dos Três Picos",2018,7,"OBS638717967","wint",1046.57
"Cacicus chrysopterus",-44.597282,-22.439591,"Rio de Janeiro","PN do Itatiaia--Hotel Simon",2017,9,"OBS545808532","spri",957.69
"Cacicus chrysopterus",-44.916656,-22.441146,"Minas Gerais","Refúgio Serra Fina, Passa Quatro",2016,10,"OBS435349663","spri",1596.06
"Cacicus chrysopterus",-44.611037,-22.444906,"Rio de Janeiro","PN do Itatiaia--Parte Baixa (Hotéis Ype, Donati, Simon; 400-800m)",2018,5,"OBS623622751","fall",1046.57
"Cacicus chrysopterus",-42.972413,-22.458428,"Rio de Janeiro","NA",2016,10,"4368901","spri",880.26
"Cacicus chrysopterus",-44.592346,-22.462509,"Rio de Janeiro","Parque Nacional do Itatiaia - parte baixa.",2018,9,"OBS655725372","spri",651.57
"Cacicus chrysopterus",-44.58546,-22.466179,"Rio de Janeiro","Itatiaia--CRI",2018,7,"OBS638995011","wint",651.57
"Cacicus chrysopterus",-45.405265,-22.470206,"Minas Gerais","BR-Minas Gerais-Itajubá-1124 Estr. Ponte Santo Antônio - -22,47x-45,405 - 16/05/2016 15:47",2016,5,"OBS404585437","fall",1126.5
"Cacicus chrysopterus",-45.375484,-22.478525,"Minas Gerais","Estrada de acesso ao Pico dos Marins -22,479x-45,375 - 29 de dez de 2016 05:05",2016,12,"OBS452791637","sum",960.09
"Cacicus chrysopterus",-45.133856,-22.500172,"Minas Gerais","Pico Dos Marins -- Marmelópolis--MG",2018,9,"OBS655191527","spri",1653.11
"Cacicus chrysopterus",-45.309404,-22.502901,"Minas Gerais","Delfim Moreira, Minas Gerais, BR (-22,503, -45,309)",2017,8,"OBS526155384","wint",1350
"Cacicus chrysopterus",-45.305828,-22.504851,"Minas Gerais","BR-Minas Gerais-Delfim Moreira - -22,505x-45,306 - 15 de jul de 2017 05:55",2017,7,"OBS520189719","wint",1350
"Cacicus chrysopterus",-45.301567,-22.505143,"Minas Gerais","BR-Minas Gerais-Delfim Moreira Estrada Barreira - -22,505x-45,302 - 23 de abr de 2017 05:20",2017,4,"OBS495338938","fall",1340.84
"Cacicus chrysopterus",-45.293021,-22.506387,"Minas Gerais","BR-Minas Gerais-Delfim Moreira-394-476 Avenida do Encontro - -22,506x-45,293",2017,2,"OBS464649393","sum",1340.84
"Cacicus chrysopterus",-45.294378,-22.506848,"Minas Gerais","BR-Minas Gerais-Delfim Moreira Estrada Bartira/bifurcação- -22,507x-45,294 - 9 de abr de 2017 04:44",2017,4,"OBS484114505","fall",1340.84
"Cacicus chrysopterus",-45.294515,-22.50688,"Minas Gerais","MG-350, Minas Gerais, BR (-22,507, -45,295)",2018,2,"OBS581995428","sum",1340.84
"Cacicus chrysopterus",-45.294171,-22.50699,"Minas Gerais","MG-350, Minas Gerais, BR (-22,507, -45,294)",2017,8,"OBS526504450","wint",1340.84
"Cacicus chrysopterus",-45.293951,-22.506995,"Minas Gerais","BR-Minas Gerais-Delfim-Estrada Pico Dos Marins Moreira - -22,507x-45,294 - 26 de mar de 2017 04:39",2018,5,"OBS612120473","fall",1340.84
"Cacicus chrysopterus",-45.149171,-22.508715,"São Paulo","BR-São Paulo-Piquete - -22,509x-45,149 - 22 de jul de 2017 06:50",2017,7,"OBS520851626","wint",1653.11
"Cacicus chrysopterus",-45.14774,-22.509244,"São Paulo","Trilha Da Base Marins Para Morro Do Careca -- Marmelópolis -- Mg.",2018,9,"OBS665492784","spri",1653.11
"Cacicus chrysopterus",-45.279257,-22.520761,"Minas Gerais","BR-Minas Gerais-Delfim Moreira-Rua Joaquim de Oliveira - -22,521x-45,279",2017,5,"OBS496528671","fall",1296.76
"Cacicus chrysopterus",-45.281521,-22.52214,"Minas Gerais","BR-Minas Gerais-Delfim Moreira - -22,522x-45,282 - 18 de jul de 2017 09:00",2017,7,"OBS520188822","wint",1296.76
"Cacicus chrysopterus",-45.354895,-22.525733,"Minas Gerais","BR-Minas Gerais-Wenceslau Braz-26 Rodovia Juscelino Kubitscheck de Oliveira - -22,526x-45,355",2017,5,"OBS505755212","fall",1168.72
"Cacicus chrysopterus",-45.279692,-22.529549,"Minas Gerais","BR-Minas Gerais-Delfim Moreira-Unnamed Rd - -22,53x-45,28",2016,6,"OBS414436966","wint",1296.76
"Cacicus chrysopterus",-45.168311,-22.530904,"Minas Gerais","Unnamed Road, Minas-Divisa Delfim/Marmelópolis. Gerais, BR (-22,531, -45,168)",2017,9,"OBS533269610","spri",1538.11
"Cacicus chrysopterus",-45.263726,-22.534092,"Minas Gerais","Delfim Moreira -- MG-350 - -22,5341x-45,2637",2018,2,"OBS579430644","sum",1424
"Cacicus chrysopterus",-45.362822,-22.535338,"Minas Gerais","BR-Minas Gerais-Wenceslau Braz-164 Rodovia Juscelino Kubitscheck de Oliveira - -22,535x-45,363",2017,6,"OBS512151815","wint",1218.08
"Cacicus chrysopterus",-45.145986,-22.539043,"São Paulo","Estrada/Bairro Marins(-22,539, -45,146)",2017,12,"OBS554032280","sum",1055.38
"Cacicus chrysopterus",-45.232507,-22.540341,"Minas Gerais","Estrada De Acesso Ao Pico Dos Marins -- Delfim Moreira",2018,5,"OBS627228235","fall",1453.31
"Cacicus chrysopterus",-45.179165,-22.541663,"Minas Gerais","Delfim Moreira--Estrada para o Pico dos Marins",2018,4,"OBS604741010","fall",1487.37
"Cacicus chrysopterus",-45.1961,-22.5466,"north","Delfim Moreira- Estrada para pico dos Marins- MG",,,"LGEMA18821",,
"Cacicus chrysopterus",-45.371801,-22.548325,"Minas Gerais","BR-Minas Gerais-Wenceslau Braz-Rodovia Tancredo Neves - -22,548x-45,372",2016,10,"OBS437837339","spri",1163.86
"Cacicus chrysopterus",-45.283032,-22.557979,"Minas Gerais","BR-Minas Gerais-Delfim Moreira-Unnamed Road -Haras Serra Bonita. -22,558x-45,283",2018,5,"OBS619320883","fall",1642.98
"Cacicus chrysopterus",-45.282766,-22.558087,"Minas Gerais","Serra Bonita -- Delfim Moreira--MG.",2018,8,"OBS659537135","wint",1642.98
"Cacicus chrysopterus",-45.28095,-22.558929,"Minas Gerais","BR-Minas Gerais-Delfim Moreira-Unnamed Road - -22,559x-45,281",2016,7,"OBS419923411","wint",1679.18
"Cacicus chrysopterus",-45.2231,-22.5673,"north","Piquete- Estada vicinal- SP`",,,"LGEMA18874",,
"Cacicus chrysopterus",-45.229579,-22.568917,"Minas Gerais","Piquete -- Trilha Do Pico Do Ataque.",2018,4,"OBS604164211","fall",1401.49
"Cacicus chrysopterus",-45.250094,-22.574376,"Minas Gerais","Estrada Barreira- Fazenda Da Onça. (-22,574, -45,25)",2017,9,"OBS535475776","spri",1589.05
"Cacicus chrysopterus",-45.260823,-22.57508,"Minas Gerais","BR-Minas Gerais-Delfim Moreira-Unnamed Road - -22,575x-45,261",2016,9,"OBS430817274","spri",1826.39
"Cacicus chrysopterus",-45.25155,-22.575656,"Minas Gerais","Delfim Moreira--Barreira",2018,4,"OBS604796610","fall",1589.05
"Cacicus chrysopterus",-45.263683,-22.577759,"Minas Gerais","-22,578x-45,264 - Fazenda Bartira 01/10/2016 18:12",2016,10,"OBS433398549","spri",1826.39
"Cacicus chrysopterus",-45.536661,-22.583206,"Minas Gerais","Trilha Pedra Da Nuvem Branca -- Piranguçu -- MG.",2018,8,"OBS650470107","wint",1443.7
"Cacicus chrysopterus",-45.568371,-22.605915,"Minas Gerais","Vila Maria vicinity, SW of Piranguçu, Minas Gerais, Brazil",2017,7,"OBS520931128","wint",1543.98
"Cacicus chrysopterus",-45.357584,-22.61571,"Minas Gerais","Delfim Moreira--Fazenda da Onça",2017,11,"OBS547348392","spri",1853.75
"Cacicus chrysopterus",-45.397195,-22.629471,"Minas Gerais","Estrada Divisa Charco/Parque ESTADUAL DE CAMPOS DO JORDÃO--MG/SP",2018,7,"OBS646019749","wint",1742.75
"Cacicus chrysopterus",-45.397142,-22.629502,"Minas Gerais","Estrada Charco/Campos Do Jordão -- Wenceslau Braz-- Mg.",2018,8,"OBS655193451","wint",1742.75
"Cacicus chrysopterus",-45.397413,-22.63023,"Minas Gerais","Delfim Moreira--Estrada Charco-PE Campos do Jordão",2017,11,"OBS547483529","spri",1742.75
"Cacicus chrysopterus",-45.426492,-22.649939,"São Paulo","PE Campos do Jordão--Divisa com MG",2018,7,"OBS646023320","wint",1707.96
"Cacicus chrysopterus",-45.592687,-22.655598,"São Paulo","Estrada Piranguçu/São Bento do Sapucaí- lago da represa. -22,656x-45,593",2017,3,"OBS476578855","fall",1668.98
"Cacicus chrysopterus",-45.863879,-22.660937,"Minas Gerais","BR-Minas Gerais-Gonçalves-Unnamed Road - -22,661x-45,864",2017,2,"OBS469358690","sum",1377.64
"Cacicus chrysopterus",-45.642,-22.6797,"São Paulo","São Bento do Sapucaí--Estrada do Baúzinho",2018,9,"OBS659947524","spri",1585.49
"Cacicus chrysopterus",-45.655682,-22.684747,"São Paulo","Monumento Natural Pedra do Baú",2016,2,"OBS618755929","sum",1585.49
"Cacicus chrysopterus",-45.481944,-22.689444,"São Paulo","PE Campos do Jordão (Horto Florestal)",2017,3,"OBS472033864","fall",1538.59
"Cacicus chrysopterus",-45.48765,-22.691073,"São Paulo","Avenida Pedro Paulo, São Paulo, BR Horto Florestal Csmpos Do Jordão. (-22,691, -45,488)",2017,11,"OBS547914973","spri",1673.81
"Cacicus chrysopterus",-45.480176,-22.691575,"São Paulo","Horto Florestal de Campos do Jordão",2017,11,"OBS547080761","spri",1673.81
"Cacicus chrysopterus",-45.490709,-22.693548,"São Paulo","São Paulo, BR (-22,694, -45,491)",2018,4,"OBS600715006","fall",1673.81
"Cacicus chrysopterus",-45.505657,-22.694156,"São Paulo","BR-São Paulo-Campos do Jordão ",2016,5,"OBS403563522","fall",1603.99
"Cacicus chrysopterus",-45.889313,-22.695437,"Minas Gerais","Gonçalves--Pousada Bicho do Mato",2018,9,"OBS659732465","spri",1709
"Cacicus chrysopterus",-45.597437,-22.699812,"São Paulo","Condomínio Cidade do Sol,Campos do Jordão, SP (-22,7, -45,597)",2018,7,"OBS642516568","wint",1623.23
"Cacicus chrysopterus",-45.478431,-22.703137,"São Paulo","Estrada da Romaria--Até pousada Sta. Maria da Serra",2018,5,"OBS612696515","fall",1811.05
"Cacicus chrysopterus",-45.588619,-22.70355,"São Paulo","Campos do Jordão--Pico do Imbiri",2018,4,"OBS605052773","fall",1610.49
"Cacicus chrysopterus",-45.588995,-22.705318,"São Paulo","Campos do Jordão - SP",2018,5,"OBS623853927","fall",1610.49
"Cacicus chrysopterus",-45.569363,-22.713044,"São Paulo","Campos do Jordão - Morro do Elefante",2017,5,"OBS623375036","fall",1665.97
"Cacicus chrysopterus",-45.604715,-22.715195,"São Paulo","Campos do Jordão - SP",2018,5,"OBS626865529","fall",1685.7
"Cacicus chrysopterus",-45.627318,-22.721925,"São Paulo","Pousada Recanto São Benedito, Campos do Jordão",2016,2,"OBS376055520","sum",1595.69
"Cacicus chrysopterus",-45.88162,-22.733114,"Minas Gerais","Sítio Esperança-Juncal- (-22,733, -45,882)",2018,11,"OBS683713794","spri",1699.46
"Cacicus chrysopterus",-45.589828,-22.73724,"São Paulo","Campos do Jordão--área geral",2018,12,"OBS688770786","sum",1663.93
"Cacicus chrysopterus",-45.488698,-22.75509,"São Paulo","Pindamonhangaba--Trilha Zig Zag",2018,12,"OBS690004144","sum",1287.16
"Cacicus chrysopterus",-44.390473,-22.776419,"São Paulo","Bananal SP",2016,9,"OBS429345010","spri",1217.48
"Cacicus chrysopterus",-44.383019,-22.779198,"São Paulo","BR-São Paulo-Bananal-Estrada do Ariró - -22,779x-44,383",2017,2,"OBS473394189","sum",1217.48
"Cacicus chrysopterus",-44.3868,-22.7806,"north","Bananal- E.E. Bananal- SP",,,"LGEMA18744",,
"Cacicus chrysopterus",-44.3868,-22.7806,"north","Bananal- E.E. Bananal- SP",,,"LGEMA18753",,
"Cacicus chrysopterus",-44.381376,-22.788445,"São Paulo","Fazenda Encontro - BR-São Paulo-Bananal - -22,788x-44,381 - 31/12/2016 20:54",2016,12,"OBS453085534","sum",1347.72
"Cacicus chrysopterus",-44.376102,-22.789739,"São Paulo","Encontro - Bocaina",2017,2,"OBS586189424","sum",1321.83
"Cacicus chrysopterus",-45.666861,-22.825238,"São Paulo","Santo Antônio do Pinhal--área geral",2017,7,"OBS667149601","wint",1135.59
"Cacicus chrysopterus",-44.461274,-22.837073,"São Paulo","Brejal, Bananal",2016,7,"OBS420350080","wint",1216.28
"Cacicus chrysopterus",-45.656768,-22.852414,"São Paulo","Estrada do Pico Agudo, Santo Antônio do Pinhal",2018,5,"OBS610477227","fall",1280.29
"Cacicus chrysopterus",-45.656833,-22.852486,"São Paulo","BR-SP-Santo Antônio do Pinhal-12450 - -22,8525x-45,6568",2017,3,"OBS472557381","fall",1280.29
"Cacicus chrysopterus",-45.656777,-22.85252,"São Paulo","Estrada do Pico Agudo, Santo Antônio do Pinhal / SP - BR",2018,1,"OBS569324810","sum",1280.29
"Cacicus chrysopterus",-44.4714,-22.8588,"NA","Brejal, Bananal, São Paulo",2016,7,"328920@XC","wint",1307.5
"Cacicus chrysopterus",-46.027554,-22.861706,"Minas Gerais","Rua da Represa, Monte Verde, Camanducaia",2016,7,"OBS418443026","wint",1626.19
"Cacicus chrysopterus",-46.077577,-22.861798,"Minas Gerais","Monte Verde--Pousada Natureza da Terra",2018,7,"OBS640799967","wint",1456.8
"Cacicus chrysopterus",-46.033798,-22.863288,"Minas Gerais","BR-Minas Gerais-Camanducaia-Monte Verde",2016,9,"OBS433015469","spri",1558.75
"Cacicus chrysopterus",-46.038766,-22.863364,"Minas Gerais","Monte Verde--área geral",2018,9,"OBS662143581","spri",1558.75
"Cacicus chrysopterus",-47.080844,-22.867536,"São Paulo","Pousada Do Professor, Tapiraí, SP",2018,7,"OBS644276193","wint",674.14
"Cacicus chrysopterus",-45.876675,-22.872716,"Minas Gerais","-22,8727x-45,8767 - 20 May 2017 09:55",2017,5,"OBS513180241","fall",1422.48
"Cacicus chrysopterus",-45.969522,-22.878271,"São Paulo","São Francisco Xavier--Serra dos Poncianos e trilhas",2018,9,"OBS656164511","spri",1513.72
"Cacicus chrysopterus",-46.027674,-22.878951,"Minas Gerais","BR-Minas Gerais-Camanducaia-Monte Verde-R. Lira",2017,1,"OBS455286485","sum",1718.91
"Cacicus chrysopterus",-46.027792,-22.879094,"Minas Gerais","Monte Verde",2017,9,"OBS537002123","spri",1718.91
"Cacicus chrysopterus",-44.472871,-22.879467,"Rio de Janeiro","Bocaina",2017,3,"OBS478418364","fall",1212.95
"Cacicus chrysopterus",-46.023926,-22.882438,"Minas Gerais","3655 Avenida das Montanhas, São Paulo, BR (-22,882, -46,024)",2018,2,"OBS578079790","sum",1718.91
"Cacicus chrysopterus",-45.866096,-22.886119,"São Paulo","São Francisco Xavier--Estrada do Rio Manso",2018,12,"OBS686794441","sum",1390.34
"Cacicus chrysopterus",-45.686039,-22.887503,"São Paulo","Hotel Harmonia",2018,9,"OBS659528030","spri",1284.55
"Cacicus chrysopterus",-45.956178,-22.894877,"São Paulo","Viveiro de Reabilitação -22.895x-45.956",2017,7,"OBS521682526","wint",942.93
"Cacicus chrysopterus",-44.185709,-22.897078,"Rio de Janeiro","Estrada Rio Das Pedras - Trilha Da Pedra Chata",2017,7,"OBS521879814","wint",1136.87
"Cacicus chrysopterus",-45.958383,-22.897778,"São Paulo","851 Estrada dos Poncianos, São Paulo, BR (-22,898, -45,958)",2017,9,"OBS534301781","spri",942.93
"Cacicus chrysopterus",-45.958295,-22.898202,"São Paulo","851 Estrada dos Poncianos, São Paulo, BR (-22,898, -45,958)",2017,8,"OBS545576767","wint",942.93
"Cacicus chrysopterus",-45.958318,-22.898338,"São Paulo","BR-São Paulo-São José dos Campos - -22,898x-45,958 - 1 de ago de 2017 06:46",2017,9,"OBS533945361","spri",942.93
"Cacicus chrysopterus",-45.956821,-22.898678,"São Paulo","Iniciativa Gaia",2017,8,"OBS528406621","wint",942.93
"Cacicus chrysopterus",-45.956663,-22.898966,"São Paulo","Instituto Gaia",2017,8,"OBS528287126","wint",942.93
"Cacicus chrysopterus",-45.992491,-22.900921,"São Paulo","sitio cheiro do mato",2017,2,"OBS472095016","sum",1428.47
"Cacicus chrysopterus",-45.980847,-22.907252,"São Paulo","Estrada dos Ferreiras, São Paulo, Sentido Trilha Do MiranteBR (-22,907, -45,981)",2018,3,"OBS595859403","fall",916.21
"Cacicus chrysopterus",-45.943138,-22.90807,"São Paulo","335 Estrada de Santa Bárbara, São Paulo, BR (-22,908, -45,943)",2018,3,"OBS589939759","fall",835.85
"Cacicus chrysopterus",-46.645456,-22.936029,"São Paulo","BR-Espaço Maitá-Estrada Municipal Octavio Antonio de Souza- -22,936x-46,645",2016,10,"OBS435135084","spri",845.87
"Cacicus chrysopterus",-45.838231,-22.955464,"São Paulo","Monteiro Lobato",2018,4,"OBS666537336","fall",717.53
"Cacicus chrysopterus",-48.402396,-22.962699,"São Paulo","São Paulo, BR (-22,963, -48,402)",2018,11,"OBS678994505","spri",903.57
"Cacicus chrysopterus",-46.534232,-22.975036,"São Paulo","Lago do Taboão",2016,9,"OBS427473855","spri",872.46
"Cacicus chrysopterus",-46.126293,-23.072198,"São Paulo","Igaratá - SP, Igaratá BR-SP (-23,0722,-46,1263)",2018,1,"OBS568981164","sum",685.03
"Cacicus chrysopterus",-44.930845,-23.12925,"São Paulo","Cunha--Lavandário",2018,4,"OBS595798962","fall",1099.26
"Cacicus chrysopterus",-44.816351,-23.142773,"Rio de Janeiro","Cunha--Pedra da Macela",2017,1,"OBS461035640","sum",1408.89
"Cacicus chrysopterus",-44.845845,-23.147334,"São Paulo","Cunha--Wolkenburg",2018,1,"OBS571594009","sum",1462.62
"Cacicus chrysopterus",-44.8315,-23.151302,"São Paulo","(-23,1513,-44,8315)",2018,10,"OBS663910694","spri",1523.56
"Cacicus chrysopterus",-44.82121,-23.151322,"Rio de Janeiro","Estrada Da Pedra Da Macela, Rio de Janeiro, BR (-23,151, -44,821)",2018,9,"OBS659130933","spri",1523.56
"Cacicus chrysopterus",-44.821473,-23.153105,"Rio de Janeiro","Trilha Dos 7 Degraus",2018,7,"OBS639757686","wint",1523.56
"Cacicus chrysopterus",-44.823014,-23.163531,"Rio de Janeiro","Porteira Macela PARATY RJ",2018,10,"OBS664248994","spri",1346.06
"Cacicus chrysopterus",-44.84007,-23.166922,"São Paulo","BR-São Paulo-Cunha-1 “Rodovia Vice Prefeito Salvador Pacetti” - -23,167x-44,84",2016,11,"OBS443812741","spri",1346.06
"Cacicus chrysopterus",-44.839887,-23.167177,"Rio de Janeiro","“Rodovia Vice Prefeito Salvador Pacetti”, São Paulo, BR (-23,167, -44,84)",2018,5,"OBS615151988","fall",1346.06
"Cacicus chrysopterus",-44.83233,-23.175714,"Rio de Janeiro","Estrada Paraty-Cunha (RJ-165)",2017,6,"OBS512880894","wint",1346.06
"Cacicus chrysopterus",-44.828996,-23.175727,"Rio de Janeiro","Rio de Janeiro, BR (-23,176, -44,829)",2018,4,"OBS615661178","fall",1346.06
"Cacicus chrysopterus",-44.972671,-23.183642,"São Paulo","Sitio das Arapongas",2017,2,"OBS462557687","sum",1202.01
"Cacicus chrysopterus",-45.014771,-23.226031,"São Paulo","Parque Da Serra Do Mar - núcleo De Cunha.",2018,6,"OBS630432302","wint",1122.53
"Cacicus chrysopterus",-45.014836,-23.226672,"São Paulo","Cunha, São Paulo, BR (-23,227, -45,015)",2018,6,"OBS629625562","wint",1122.53
"Cacicus chrysopterus",-44.92594,-23.22694,"São Paulo","São Paulo, BR (-23,227, -44,926)",2018,7,"OBS643814533","wint",1203.25
"Cacicus chrysopterus",-45.022326,-23.235263,"São Paulo","PESM Núcleo Cunha",2016,3,"OBS389124514","fall",1232.71
"Cacicus chrysopterus",-44.999971,-23.254429,"São Paulo","São Paulo, BR (-23,254, -45)",2018,7,"OBS637411795","wint",1075.3
"Cacicus chrysopterus",-45.200569,-23.289449,"São Paulo","Unnamed Road, São Paulo, BR (-23.289, -45.201)",2018,10,"OBS667443381","spri",1024.94
"Cacicus chrysopterus",-45.164696,-23.319193,"São Paulo","Reserva Guainumbi",2018,10,"OBS675233653","spri",1007.88
"Cacicus chrysopterus",-45.163913,-23.319735,"São Paulo","Pousada Oikos (Josiél Briet)",2018,1,"OBS571723012","sum",1007.88
"Cacicus chrysopterus",-45.191483,-23.324775,"São Paulo","São Luís do Paraitinga -- Fragmento 12",2016,1,"OBS415164250","sum",1008.8
"Cacicus chrysopterus",-45.174789,-23.326278,"São Paulo","São Luís do Paraitinga -- Fragmento 11",2016,1,"OBS415160489","sum",1008.8
"Cacicus chrysopterus",-45.143681,-23.330321,"São Paulo","PE Serra do Mar--Acesso Vereador Abílio Monteiro de Campos (-23.3303,-45.1437)",2018,12,"OBS688381822","sum",1018.66
