"Table S11: Demographic parameter estimation based on a two population (Tropical and Subtropical) model for 21 species of birds restricted to the Atlantic Forest sky-islands. ",,,,,,,,,,,
"Species","Ne Tropical","Ne Subtropical","Ne Ancestral","Tdiv","t Tropical","t Subtropical","M_S>N","M_N>S","Ne change North","Ne change South","Likelihood"
"Saltator maxillosus","110,484 (66,254/110,245)","262,374 (75,995/244,159)","1,436 (5,002/169,025)","161,263 (172,537/222,598)","1,480 (15,789/85,215)","35,351 (27,896/78,965)","2.53 (1.69/2.48)","1.39 (0.41/2.39)","0.8 (-4.2/-1.1)","-1.5 (-1.3/2.1)","-10,582.82"
"Elaenia mesoleuca","106,830 (75,214/137,895)","516,477 (235,498/499,658)","132,016 (148,899/644,807)","464,236 (325,789/446,295)","83,255 (98,214/129,365)","6,214 (6,002/45,214)","6.65 (1.45/3.67)","0.02 (0.02/3.58)","2.5 (-0.5/5.7)","-6.2 (-3.2/9.4)","-3,321.24"
"Hemitriccus obsoletus","907,929 (120,235/568,142)","39,853 (41,578/169,978)","481,821 (265,014/896,147)","379,131 (301,025/365,148)","89,813 (76,984/102,369)","295,365 (245,698/302,689)","3.17 (2.48/3.68)","0.25 (0.35/3.25)","-5.1 (-1.4/6.7)","1.8 (0.1/3.0 )","-22,235.95"
"Piprites pileata","59,093 (8,563/97,563)","68,321 (6,895/52,589)","595,622 (125,036/635,049)","164,160 (125,734/175,248)","94,202 (74,895/99,989)","4,256 (2,001/25,375)","0.54 (0.12/1.21)","0.33 (0.02/0.67)","-3.4 (-2.4/5.1)","1.0 (-3.2/6.8)","-1,621.39"
"Drymophila rubricollis","30,101 (38,057/119,698)","777,694 (112,446/558,473)","19,870 (15,222/203,608)","159,143 (125,896/189,657)","2,413 (8,746/56,654)","29,719 (29,147/58,236)","2.35 (1.78/2.84)","3.5 (1.36/3.03)","2.5 (0.1/8.2)","-5.6 (-17.3/-3.8)","-5,987.31"
"Chamaeza ruficauda","52,554 (25,789/123,568)","54,972 (19,887/53,211)","455,301 (355,478/569,802)","203,938 (199,547/225,487)","121,480 (87,542/101,236)","93,933 (75,896/95,478)","0.24 (0.11/0.75)","0.34 (0.03/0.69)","-4.6 (-13.2/7.6)","1.4 (0.3/8.6)","-8,138.81"
"Syndactyla rufosuperciliata","497,817 (127,548/502,698)","684,829 (258,999/674,215)","14,541 (16,558/269,000)","217,547 (164,874/215,369)","48,913 (51,785/72,328)","86,696 (82,796/120,564)","5.87 (1.86/3.69)","3.63 (2.35/6.1)","-0.8 (0.1/7.3)","-2.3 (-15.8/3.7)","-11,949.61"
"Poospiza thoracica","110,712 (25,264/102,658)","44,963 (36,667/72,149)","127,675 (122,504/603,589)","364,516 (324,159/378,214)","105,921 (99,742/152,349)","260,722 (246,219/276,391)","2.8 (0.98/3.11)","0.22 (0.55/2.12)","-4.4 (-6.2/-0.3)","1.7 (0.2/2.7)","-10,537.78"
"Phylloscartes ventralis","379,824 (202,458/635,147)","39,430 (38,947/125,007)","177,159 (135,025/648,777)","167,702 (148,239/187,245)","80,852 (44,527/142,852)","11,959 (8,796/22,158)","4.59 (0.85/2.19)","0.03 (0.02/3.54)","-2.9 (-7.2/-3.0)","-1.2 (-7.4/0.2)","-3,267.55"
"Muscipipra vetula","746,611 (99,604/547,893)","30,693 (36,547/257,888)","361,549 (115,909/756,097)","549,576 (528,947/569,821)","45,834 (25,896/78,265)","480,126 (426,945/496,841","2.95 (1.86/3.45)","0.15 (0.25/2.38)","-4.1 (-1.4/3.7)","2.2 (-8.4/-2.4)","-1,954.14"
"Dysithamnus xanthopterus","36,880 (12,354/44,507)","16,585 (8,977/15,478)","126,533 (35,489/128,698)","272,191 (225,147/285,624)","9,936 (10,637/55,648)","237,116 (233,321/284,569)","0.32 (0.13/0.84)","0.5 (0.03/0.85)","-2.5 (-6.4/-2.4)","2.6 (-3.4/6.7)","-4,890.13"
"T - Tropical populations; S - Subtropical population; Anc - Ancestral population; Ne - Effective population size in chromosomes number; Tdiv - Divergence time in years (assuming 1 year generation time for all species); 𝛕 - time of population size change in years; M_S>N - migrants per generation from southern to northern population; M_N>S - migrants per generation from northern to southern to population; 𝜺 - the proportional size of the ancestral population compared to the current population before population size change. Values in parenthesis after parameter names are the distribution shape and search interval for that parameter. ",,,,,,,,,,,
