"Species","Longitude","Latitude","State","Locality","year","month","identifier","Elevation"
"Cacicus chrysopterus",-57.26207,-25.073836,"Cordillera","PY-Departamento de Cordillera - -25.074x-57.262 - oct. 22, 2016 11:48",2016,10,"OBS437848576",66.28
"Cacicus chrysopterus",-57.401275,-25.11355,"Cordillera","PY-Departamento de la Cordillera-Ruta General Aquino - -25,1135x-57,4013 - 6 mar 2016 15:07. Estancia Karandayty",2016,3,"OBS402767115",110.43
"Cacicus chrysopterus",-57.43599,-25.123616,"Cordillera","Paso Correo",2016,4,"OBS391460688",70.52
"Cacicus chrysopterus",-57.434439,-25.124356,"Cordillera","Estancia Paso Correo",2016,10,"OBS437848728",70.52
"Cacicus chrysopterus",-57.322,-25.242,"Cordillera","Lago Ypacaray, Parque Nacional Ypacaray, Dpto. Cordillera",2017,2,"OBS467511651",90.2
"Cacicus chrysopterus",-57.031445,-25.377454,"Cordillera","Ruta 2",2016,11,"OBS445119182",193.15
"Cacicus chrysopterus",-58.511366,-27.296266,"Corrientes","San Cosme--Río Paraná",2018,5,"OBS615848464",51.16
"Cacicus chrysopterus",-58.540402,-27.312297,"Corrientes","Paso De La Patria",2018,3,"OBS591432123",54.59
"Cacicus chrysopterus",-58.57035,-27.313615,"Corrientes","Paso de la Patria, Corrientes, AR (-27.314, -58.57)",2018,1,"OBS569195221",49.45
"Cacicus chrysopterus",-58.547852,-27.313956,"Corrientes","Paso De La Patria",2018,3,"OBS591429123",54.59
"Cacicus chrysopterus",-58.560003,-27.315698,"Corrientes","Paso de la Patria, Corrientes",2018,10,"OBS666588421",51.95
"Cacicus chrysopterus",-58.50123,-27.327812,"Corrientes","Paso De La Patria",2018,3,"OBS591424159",63.42
"Cacicus chrysopterus",-58.59672,-27.340922,"Corrientes","(-27.341, -58.597)",2018,9,"OBS654986172",57.92
"Cacicus chrysopterus",-58.491211,-27.372834,"Corrientes","San Cosme",2016,3,"OBS384548861",63.15
"Cacicus chrysopterus",-57.701837,-27.387,"Corrientes","AR-Corrientes-Berón de Astrada - -27,3870x-57,7018 - 10 jun. 2017 07:26",2017,6,"OBS511044206",67.39
"Cacicus chrysopterus",-58.730771,-27.433268,"Corrientes","Ruta Nacional 12, Corrientes, AR (-27,433, -58,731)",2018,5,"OBS612491924",60.68
"Cacicus chrysopterus",-58.642766,-27.445068,"Corrientes","Santa Ana--lagunas",2016,5,"OBS402699330",63.17
"Cacicus chrysopterus",-58.672585,-27.472005,"Corrientes","Amokañy, Santa Ana de los Guácaras, San Cosme, Corrientes, AR",2018,5,"OBS611462010",63.41
"Cacicus chrysopterus",-56.73919,-27.51259,"Corrientes","Isla Apipé--San Antonio (Argentina)",2017,5,"OBS500316738",63.12
"Cacicus chrysopterus",-56.53046,-27.526275,"Corrientes","Bahía Carayá",2018,8,"OBS649475270",85.9
"Cacicus chrysopterus",-58.67947,-27.552302,"Corrientes","PP San Cayetano",2017,11,"OBS548868460",59.44
"Cacicus chrysopterus",-58.815436,-27.554014,"Corrientes","Ex Regimiento Santa Catalina",2016,3,"OBS380928234",51.56
"Cacicus chrysopterus",-56.81433,-27.63589,"Corrientes","Cambyretá, Portal Norte Esteros del Iberá, Ituzaingó, Corrientes -27.6359 X -56.8143",2016,5,"OBS404444693",74.54
"Cacicus chrysopterus",-57.187614,-27.710317,"Corrientes","Ea. San Juan Poriahú (AICA CR02)",2018,10,"OBS664418894",72
"Cacicus chrysopterus",-58.2833,-27.8667,"Corrientes","Ramones",2017,7,"OBS525968955",67.43
"Cacicus chrysopterus",-56.049542,-28.001449,"Corrientes","Sosa Cué",2017,10,"OBS545673596",136.76
"Cacicus chrysopterus",-58.057251,-28.011377,"Corrientes","PN Mburucuyá (AICA CR07)",2018,5,"OBS623053352",74.09
"Cacicus chrysopterus",-58.194365,-28.032819,"Corrientes","Sendero Ñande Yvy Porá",2016,7,"OBS417781897",71.39
"Cacicus chrysopterus",-58.098536,-28.035273,"Corrientes","PARQUE NACIONAL MBURUCUYA",2016,7,"OBS417779443",70.52
"Cacicus chrysopterus",-58.130186,-28.044766,"Corrientes","PN Mburucuya",2016,5,"OBS407431255",70.23
"Cacicus chrysopterus",-58.223762,-28.045622,"Corrientes","Mburucuyá (pueblo y alrededores)",2017,11,"OBS553264147",74.55
"Cacicus chrysopterus",-56.012506,-28.046455,"Corrientes","Virasoro",2017,3,"OBS482028807",144.46
"Cacicus chrysopterus",-58.135743,-28.048273,"Corrientes","camino al parque",2017,4,"OBS487921612",70.23
"Cacicus chrysopterus",-58.166861,-28.060256,"Corrientes","PN Mburucuya",2018,10,"OBS671540242",69.86
"Cacicus chrysopterus",-58.2753,-28.100669,"Corrientes","Ea. Los Naranjales de Rosarito",2016,10,"OBS544991663",71.17
"Cacicus chrysopterus",-56.057289,-28.108591,"Corrientes","Reserva Natural Establecimiento Las Marías",2018,11,"OBS680723959",131.46
"Cacicus chrysopterus",-56.051892,-28.110957,"Corrientes","Establecimiento Las Marias",2018,11,"OBS679353255",131.46
"Cacicus chrysopterus",-55.756,-28.2295,"Corrientes","Colonia Garabí (AICA CR15)",2017,1,"OBS462586414",77.89
"Cacicus chrysopterus",-55.770384,-28.237342,"Corrientes","Unnamed Road, Corrientes, AR (-28,237, -55,77)",2018,2,"OBS577358975",74.43
"Cacicus chrysopterus",-57.4145,-28.2485,"Corrientes","Lomada de San Alonso (AICA CR11)",2018,7,"OBS639365736",62.26
"Cacicus chrysopterus",-57.714833,-28.516772,"Corrientes","AR-Corrientes - -28,517x-57,715 - 02/04/2016 15:56",2016,3,"OBS387866500",56
"Cacicus chrysopterus",-57.120845,-28.525646,"Corrientes","Colonia C. Pellegrini R.40",2016,5,"OBS704779369",65.45
"Cacicus chrysopterus",-57.168367,-28.534276,"Corrientes","carlos pellegrini",2016,5,"OBS410920550",65.11
"Cacicus chrysopterus",-57.174225,-28.53552,"Corrientes","Carlos Pellegrini y Laguna Iberá (AICA CR10)",2018,2,"OBS581266572",65.11
"Cacicus chrysopterus",-57.179195,-28.53701,"Corrientes","Hospedaje San Cayetano",2018,6,"OBS634413950",65.11
"Cacicus chrysopterus",-57.186452,-28.537835,"Corrientes","Camping Carlos Pellegrini",2017,8,"OBS659538305",65.25
"Cacicus chrysopterus",-57.186507,-28.537919,"Corrientes","Camping Viejo",2016,5,"OBS407424579",65.25
"Cacicus chrysopterus",-57.187915,-28.541345,"Corrientes","Pedraplen,Cnia. Carlos Pellegrini",2018,6,"OBS632506764",65.25
"Cacicus chrysopterus",-57.191268,-28.543395,"Corrientes","NA",2017,7,"19597362",65.25
"Cacicus chrysopterus",-57.195472,-28.545459,"Corrientes","Parque provincial Iberá- Pasarela.",2018,6,"OBS630204036",65.25
"Cacicus chrysopterus",-57.196468,-28.546251,"Corrientes","Laguna Iberá--Centro de Interpretación Agua Brillantes",2018,6,"OBS666603124",65.25
"Cacicus chrysopterus",-57.20109,-28.546259,"Corrientes","Sendero el Cerrito",2017,3,"OBS476087794",65.25
"Cacicus chrysopterus",-57.206715,-28.555701,"Corrientes","Ruta Provincial 40, Mercedes AR-Corrientes (-28,5557,-57,2067)",2018,10,"OBS671712892",66.64
"Cacicus chrysopterus",-57.43231,-28.655241,"Corrientes","El Socorro-28,655x-57,432 - ago 3, 2016 20:08",2016,8,"OBS421614009",72.52
"Cacicus chrysopterus",-57.42455,-28.6553,"Corrientes","Ea. Rincón del Socorro (AICA CR10)",2018,5,"OBS625092086",73.08
"Cacicus chrysopterus",-58.163897,-28.93082,"Corrientes","ita cora, mercedes, corrientes",2016,10,"OBS436356988",73.38
"Cacicus chrysopterus",-58.264766,-29.211031,"Corrientes","Estancia La Paz",2017,9,"OBS545438744",79.27
"Cacicus chrysopterus",-58.322,-29.216,"Corrientes","Felipe Yofre (AICA CR14)",2016,8,"OBS423682479",75.67
"Cacicus chrysopterus",-58.8022,-29.2583,"Corrientes","Arroyo Batel",2018,11,"OBS678538337",44.11
"Cacicus chrysopterus",-58.326287,-29.343352,"Corrientes","camino a Perugorria",2016,10,"OBS500570659",92.73
"Cacicus chrysopterus",-57.66492,-30.19806,"Corrientes","Campo Militar Grl. Avalos",2018,4,"OBS608979602",43.09
"Cacicus chrysopterus",-59.553735,-30.214358,"Corrientes","Ruta Provincial 31, Corrientes, AR (-30.214, -59.554)",2018,4,"OBS607935753",32.41
"Cacicus chrysopterus",-59.553907,-30.214798,"Corrientes","Finca Mombiri",2018,4,"OBS607282253",32.41
"Cacicus chrysopterus",-57.67465,-30.35405,"Corrientes","Club Nautico",2018,4,"OBS608165844",42.69
"Cacicus chrysopterus",-57.960198,-30.649764,"Corrientes","Reserva Natural Biprovincial Mocoretá",2017,12,"OBS556720480",39.81
"Cacicus chrysopterus",-58.67053,-30.2005,"Entre Ríos","Dto. Basualdo",2016,6,"OBS413782010",62.12
"Cacicus chrysopterus",-58.894401,-30.294609,"Entre Ríos","Reserva de Aves Chilcalito",2018,11,"OBS676364393",58.69
"Cacicus chrysopterus",-58.759799,-30.303584,"Entre Ríos","tunas Cora",2016,6,"OBS412724823",65.32
"Cacicus chrysopterus",-58.77546,-30.38437,"Entre Ríos","-30.3844 X -58.7755",2016,10,"OBS437642509",68.92
"Cacicus chrysopterus",-58.750148,-30.385102,"Entre Ríos","departamento Feliciano",2017,3,"OBS479846201",67.63
"Cacicus chrysopterus",-59.184015,-30.387693,"Entre Ríos","Area natural Protegida Don Sebastian",2016,10,"OBS438296403",48.18
"Cacicus chrysopterus",-59.184948,-30.387779,"Entre Ríos","Área Natural Protegida Don Sebastián",2018,6,"OBS631711247",48.18
"Cacicus chrysopterus",-58.643249,-30.45336,"Entre Ríos","Unnamed Road, Entre Ríos, AR (-32.224, -60.513)",2018,10,"OBS664196122",68.06
"Cacicus chrysopterus",-59.58714,-30.614425,"Entre Ríos","Rio Parana- Espinillo",2017,11,"OBS555368987",22.03
"Cacicus chrysopterus",-58.806081,-30.673794,"Entre Ríos","Ao. Puerto (Federal)",2018,12,"OBS683765883",59.73
"Cacicus chrysopterus",-59.637678,-30.732466,"Entre Ríos","Arroyo Cabayu cuatia",2016,1,"OBS370659148",34.49
"Cacicus chrysopterus",-59.65493,-30.749286,"Entre Ríos","300-398 Boulevard 25 de Mayo, La Paz, Entre Ríos, AR (-30,749, -59,655)",2017,9,"OBS533549242",33.65
"Cacicus chrysopterus",-59.657426,-30.755655,"Entre Ríos","Area Natural Protegida La Curtiembre",2016,10,"OBS438305539",33.65
"Cacicus chrysopterus",-59.647731,-30.762373,"Entre Ríos","Parque de la Aventura (La Paz)",2018,10,"OBS671043326",44.24
"Cacicus chrysopterus",-59.647891,-30.787317,"Entre Ríos","La Fulanita",2016,11,"OBS443528965",62.14
"Cacicus chrysopterus",-60.327238,-31.723328,"Entre Ríos","Parque Escolar Rural Enrique Berduc",2018,5,"OBS616196405",27.62
"Cacicus chrysopterus",-60.325273,-31.733038,"Entre Ríos","Parque Escolar Rural Enrique Berduc",2016,5,"OBS402828085",29.03
"Cacicus chrysopterus",-60.605327,-31.826989,"Entre Ríos","PN Pre-Delta--La Jaula",2018,6,"OBS634170501",37.69
"Cacicus chrysopterus",-58.211575,-31.871435,"Entre Ríos","PN El Palmar",2017,7,"OBS547876887",15.08
"Cacicus chrysopterus",-58.799386,-33.501942,"Entre Ríos","Ceibas",2017,9,"OBS544756317",4.23
"Cacicus chrysopterus",-59.245856,-33.652152,"Entre Ríos","Campo privado a unos 10 km de Ibicuy",2018,10,"OBS684650513",3.38
"Cacicus chrysopterus",-58.142333,-25.044,"Formosa","PN Río Pilcomayo (AICA FO13)",2018,1,"OBS666061354",79.28
"Cacicus chrysopterus",-58.140986,-25.072246,"Formosa","NA",2017,9,"21747129",77.39
"Cacicus chrysopterus",-58.219048,-25.128796,"Formosa","AR-Formosa-Pilcomayo (-25,1288,-58,2190)",2018,7,"OBS639050348",78.14
"Cacicus chrysopterus",-58.226355,-25.140118,"Formosa","Camino al PN Río Pilcomayo",2018,4,"OBS607924636",78.14
"Cacicus chrysopterus",-58.212211,-25.153565,"Formosa","camino a laguna blanca 2",2016,7,"OBS422251217",77.68
"Cacicus chrysopterus",-58.137365,-25.202728,"Formosa","AR-Formosa-Pilcomayo (-25,2027,-58,1374)",2018,7,"OBS638926291",78.27
"Cacicus chrysopterus",-57.736459,-25.24392,"Formosa","Circuito de Canotaje Pilcomayo Norte",2016,7,"OBS419732373",65.01
"Cacicus chrysopterus",-58.696967,-25.255841,"Formosa","Ea. La Armonía",2018,2,"OBS587418190",85.72
"Cacicus chrysopterus",-58.740892,-25.268449,"Formosa","Laguna Gallo",2017,10,"OBS545505046",87.86
"Cacicus chrysopterus",-58.156509,-25.273912,"Formosa","Cnia. Naineck--campo Angelita",2016,7,"OBS419365007",76
